timestamp (UTC),PUMP 1 MICRO duration_time (99d34ca5-a70e-4351-a6b8-ee2ace449494)
2021-03-23 12:02:26.236,3.0
2021-03-23 15:12:10.696,3.0
2021-03-23 22:55:52.113,4.0
2021-03-24 03:56:46.233,4.0
2021-03-29 03:38:32.808,3.0
2021-03-29 15:33:14.616,5.0
2021-03-29 16:58:48.996,4.0
2021-04-03 16:29:49.741,4.0
2021-04-04 17:39:54.195,2.0
2021-04-05 03:28:13.551,3.0
2021-04-07 01:50:36.797,4.0
2021-04-09 14:50:57.568,3.0
2021-04-10 16:16:36.759,3.0
2021-04-10 22:55:03.582,2.0
2021-04-11 01:57:40.660,4.0
2021-04-13 02:42:13.815,4.0
2021-04-13 15:12:11.727,4.0
2021-04-13 21:02:34.659,4.0
2021-04-19 02:48:19.017,3.0
2021-04-19 19:44:10.301,2.0
2021-04-21 02:57:22.238,3.0
2021-04-22 21:51:32.948,3.0
2021-04-24 23:21:18.584,4.0
2021-04-25 09:51:01.458,3.0
2021-04-29 19:59:45.142,5.0
2021-04-29 21:55:23.768,5.0
2021-04-29 23:15:09.462,5.0
2021-05-03 03:08:47.540,41549.850288
2021-05-12 13:44:52.974,4.0
2021-05-16 15:25:04.644,3.0
2021-05-22 02:14:57.996,4.0
2021-05-24 21:09:21.488,4.0
2021-05-25 18:18:57.106,4.0
2021-06-04 05:04:36.883,6.0
2021-06-08 13:31:26.814,6.0
2021-07-27 15:43:23.963,15.0
2021-07-28 23:01:24.409,12.0
2021-07-29 21:32:30.678,20.0
